id,year,type,weight_lbs
1,2021,4,0.21
2,2021,4,0.28
3,2021,4,0.32
4,2021,4,0.33
5,2021,3,0.44
6,2021,4,0.53
7,2021,4,0.56
8,2021,3,0.66
9,2021,4,0.71
10,2021,4,0.77
11,2021,4,1
12,2021,4,1
13,2021,4,1
14,2021,3,1
15,2021,3,1.01
16,2021,4,1.06
17,2021,3,1.1
18,2021,3,1.1
19,2021,3,1.1
20,2021,4,1.1
21,2021,3,1.17
22,2021,4,1.2
23,2021,4,1.2
24,2021,3,1.2
25,2021,4,1.2
26,2021,3,1.2
27,2021,4,1.2
28,2021,3,1.24
29,2021,3,1.28
30,2021,4,1.3
31,2021,3,1.33
32,2021,4,1.36
33,2021,4,1.38
34,2021,3,1.4
35,2021,3,1.4
36,2021,3,1.4
37,2021,3,1.42
38,2021,3,1.44
39,2021,4,1.48
40,2021,3,1.5
41,2021,3,1.5
42,2021,3,1.5
43,2021,4,1.52
44,2021,3,1.52
45,2021,4,1.55
46,2021,4,1.6
47,2021,4,1.6
48,2021,3,1.6
49,2021,3,1.6
50,2021,5,1.6
51,2021,4,1.6
52,2021,3,1.6
53,2021,3,1.61
54,2021,4,1.62
55,2021,3,1.62
56,2021,3,1.65
57,2021,3,1.66
58,2021,3,1.66
59,2021,3,1.7
60,2021,4,1.7
61,2021,4,1.7
62,2021,3,1.76
63,2021,3,1.8
64,2021,3,1.8
65,2021,3,1.8
66,2021,4,1.8
67,2021,3,1.8
68,2021,4,1.8
69,2021,4,1.8
70,2021,4,1.81
71,2021,3,1.83
72,2021,5,1.83
73,2021,4,1.86
74,2021,5,1.87
75,2021,5,1.88
76,2021,5,1.9
77,2021,4,1.9
78,2021,3,1.9
79,2021,5,1.9
80,2021,3,1.9
81,2021,5,1.9
82,2021,5,1.9
83,2021,4,1.9
84,2021,3,1.91
85,2021,3,1.94
86,2021,3,1.94
87,2021,3,1.96
88,2021,5,1.96
89,2021,5,1.97
90,2021,5,1.99
91,2021,3,2
92,2021,5,2
93,2021,3,2
94,2021,5,2
95,2021,3,2
96,2021,5,2.03
97,2021,4,2.03
98,2021,3,2.05
99,2021,3,2.06
100,2021,5,2.06
101,2021,4,2.08
102,2021,3,2.08
103,2021,4,2.1
104,2021,3,2.1
105,2021,3,2.1
106,2021,3,2.1
107,2021,4,2.1
108,2021,3,2.1
109,2021,3,2.16
110,2021,3,2.2
111,2021,3,2.2
112,2021,4,2.2
113,2021,3,2.23
114,2021,3,2.25
115,2021,5,2.25
116,2021,3,2.26
117,2021,4,2.27
118,2021,4,2.3
119,2021,4,2.31
120,2021,4,2.33
121,2021,3,2.4
122,2021,3,2.4
123,2021,4,2.4
124,2021,4,2.42
125,2021,4,2.42
126,2021,4,2.42
127,2021,3,2.43
128,2021,4,2.47
129,2021,4,2.48
130,2021,4,2.5
131,2021,3,2.5
132,2021,3,2.5
133,2021,4,2.5
134,2021,4,2.5
135,2021,3,2.5
136,2021,3,2.5
137,2021,3,2.51
138,2021,4,2.51
139,2021,3,2.52
140,2021,4,2.52
141,2021,4,2.6
142,2021,3,2.6
143,2021,3,2.6
144,2021,4,2.6
145,2021,4,2.6
146,2021,3,2.61
147,2021,3,2.64
148,2021,3,2.65
149,2021,4,2.66
150,2021,4,2.69
151,2021,3,2.7
152,2021,3,2.7
153,2021,4,2.7
154,2021,4,2.76
155,2021,3,2.78
156,2021,4,2.79
157,2021,4,2.79
158,2021,4,2.8
159,2021,3,2.8
160,2021,3,2.81
161,2021,4,2.81
162,2021,3,2.83
163,2021,4,2.83
164,2021,5,2.83
165,2021,3,2.85
166,2021,3,2.88
167,2021,4,2.88
168,2021,3,2.89
169,2021,3,2.89
170,2021,4,2.9
171,2021,3,2.92
172,2021,4,2.92
173,2021,3,2.92
174,2021,4,2.93
175,2021,3,2.97
176,2021,3,2.97
177,2021,3,2.99
178,2021,4,3
179,2021,3,3
180,2021,4,3
181,2021,3,3
182,2021,4,3
183,2021,4,3.01
184,2021,4,3.02
185,2021,3,3.1
186,2021,3,3.12
187,2021,4,3.15
188,2021,3,3.17
189,2021,3,3.17
190,2021,3,3.17
191,2021,4,3.18
192,2021,3,3.19
193,2021,3,3.2
194,2021,4,3.2
195,2021,3,3.22
196,2021,3,3.22
197,2021,4,3.25
198,2021,3,3.26
199,2021,4,3.26
200,2021,4,3.3
201,2021,3,3.3
202,2021,3,3.31
203,2021,3,3.31
204,2021,2,3.32
205,2021,4,3.33
206,2021,4,3.33
207,2021,4,3.34
208,2021,3,3.35
209,2021,3,3.36
210,2021,3,3.37
211,2021,4,3.38
212,2021,4,3.4
213,2021,3,3.4
214,2021,4,3.4
215,2021,3,3.4
216,2021,4,3.41
217,2021,3,3.46
218,2021,3,3.5
219,2021,4,3.5
220,2021,3,3.5
221,2021,3,3.5
222,2021,3,3.54
223,2021,4,3.54
224,2021,3,3.56
225,2021,3,3.6
226,2021,3,3.61
227,2021,3,3.62
228,2021,4,3.66
229,2021,4,3.69
230,2021,4,3.69
231,2021,3,3.7
232,2021,5,3.7
233,2021,3,3.7
234,2021,4,3.73
235,2021,4,3.73
236,2021,3,3.73
237,2021,3,3.74
238,2021,3,3.74
239,2021,4,3.74
240,2021,3,3.77
241,2021,4,3.77
242,2021,3,3.79
243,2021,3,3.8
244,2021,4,3.8
245,2021,4,3.8
246,2021,4,3.8
247,2021,5,3.8
248,2021,3,3.8
249,2021,3,3.8
250,2021,3,3.89
251,2021,3,3.9
252,2021,3,3.9
253,2021,3,3.9
254,2021,3,3.92
255,2021,4,3.98
256,2021,3,3.98
257,2021,3,4
258,2021,4,4.02
259,2021,3,4.03
260,2021,3,4.04
261,2021,4,4.06
262,2021,3,4.06
263,2021,4,4.08
264,2021,2,4.1
265,2021,4,4.1
266,2021,4,4.1
267,2021,4,4.14
268,2021,3,4.14
269,2021,4,4.15
270,2021,4,4.16
271,2021,3,4.21
272,2021,4,4.23
273,2021,3,4.25
274,2021,4,4.3
275,2021,3,4.3
276,2021,4,4.32
277,2021,3,4.34
278,2021,3,4.36
279,2021,3,4.38
280,2021,4,4.39
281,2021,3,4.44
282,2021,4,4.44
283,2021,3,4.45
284,2021,3,4.46
285,2021,3,4.46
286,2021,3,4.47
287,2021,4,4.48
288,2021,4,4.48
289,2021,3,4.49
290,2021,3,4.5
291,2021,5,4.5
292,2021,4,4.5
293,2021,4,4.51
294,2021,3,4.53
295,2021,4,4.53
296,2021,3,4.55
297,2021,3,4.6
298,2021,4,4.61
299,2021,4,4.62
300,2021,3,4.65
301,2021,3,4.65
302,2021,4,4.66
303,2021,4,4.68
304,2021,4,4.7
305,2021,3,4.7
306,2021,4,4.71
307,2021,4,4.73
308,2021,3,4.75
309,2021,3,4.78
310,2021,3,4.78
311,2021,4,4.81
312,2021,3,4.82
313,2021,4,4.82
314,2021,4,4.88
315,2021,3,4.88
316,2021,3,4.88
317,2021,3,4.9
318,2021,4,4.9
319,2021,4,4.93
320,2021,3,4.95
321,2021,3,4.96
322,2021,4,4.98
323,2021,4,5
324,2021,3,5
325,2021,3,5
326,2021,4,5.03
327,2021,3,5.03
328,2021,3,5.03
329,2021,3,5.04
330,2021,3,5.06
331,2021,3,5.07
332,2021,3,5.07
333,2021,2,5.08
334,2021,4,5.09
335,2021,4,5.1
336,2021,3,5.11
337,2021,4,5.14
338,2021,4,5.19
339,2021,4,5.19
340,2021,3,5.24
341,2021,4,5.26
342,2021,4,5.27
343,2021,3,5.39
344,2021,4,5.39
345,2021,3,5.46
346,2021,3,5.49
347,2021,3,5.52
348,2021,4,5.55
349,2021,4,5.57
350,2021,4,5.6
351,2021,4,5.61
352,2021,4,5.72
353,2021,4,5.75
354,2021,3,5.8
355,2021,3,5.85
356,2021,3,5.87
357,2021,3,5.93
358,2021,4,5.97
359,2021,3,5.97
360,2021,3,5.98
361,2021,4,6
362,2021,4,6.14
363,2021,4,6.21
364,2021,3,6.26
365,2021,3,6.5
366,2021,3,6.52
367,2021,3,6.56
368,2021,3,6.82
369,2021,3,6.9
370,2021,4,7
371,2021,3,7.19
372,2021,3,7.46
373,2021,3,7.58
374,2021,4,7.66
375,2021,3,7.88
376,2021,4,8
377,2021,3,8.36
378,2021,4,9.06
379,2021,3,9.09
380,2021,3,9.3
381,2021,4,12
382,2021,3,12.8
383,2021,4,13.38
384,2021,3,14.5
385,2021,3,14.6
386,2021,3,15
387,2021,3,16
388,2021,4,16.09
389,2021,4,16.3
390,2021,3,16.73
391,2021,3,17.5
392,2021,3,18
393,2021,4,18
394,2021,3,18.5
395,2021,3,18.5
396,2021,3,18.7
397,2021,3,19.4
398,2021,4,21
399,2021,3,21
400,2021,4,21.2
401,2021,3,22.5
402,2021,3,23.2
403,2021,3,23.4
404,2021,3,24
405,2021,4,24
406,2021,3,24
407,2021,3,24.6
408,2021,3,24.9
409,2021,3,25
410,2021,3,25
411,2021,3,25.1
412,2021,4,25.5
413,2021,4,25.75
414,2021,4,26.5
415,2021,3,26.5
416,2021,3,27
417,2021,4,27.5
418,2021,3,27.8
419,2021,3,28
420,2021,4,28
421,2021,4,28
422,2021,3,28.4
423,2021,4,29.5
424,2021,3,29.5
425,2021,3,30
426,2021,3,30
427,2021,3,30.5
428,2021,3,30.5
429,2021,4,31.1
430,2021,3,31.1
431,2021,4,32
432,2021,4,35.3
433,2021,3,35.3
434,2021,4,36
435,2021,3,36
436,2021,3,36.2
437,2021,4,36.4
438,2021,3,36.6
439,2021,3,36.8
440,2021,4,37.9
441,2021,4,38
442,2021,4,38
443,2021,3,38.3
444,2021,3,38.5
445,2021,3,38.5
446,2021,4,39.2
447,2021,4,39.7
448,2021,3,39.7
449,2021,4,40
450,2021,3,41
451,2021,3,41.5
452,2021,5,42.3
453,2021,4,42.3
454,2021,5,42.85
455,2021,3,43
456,2021,3,43
457,2021,4,43.5
458,2021,3,43.55
459,2021,4,44
460,2021,3,44
461,2021,4,44.1
462,2021,3,45
463,2021,4,45
464,2021,3,45
465,2021,4,45
466,2021,3,45
467,2021,5,45.2
468,2021,3,45.5
469,2021,5,46
470,2021,5,46
471,2021,3,46.3
472,2021,4,46.5
473,2021,3,46.7
474,2021,4,46.7
475,2021,3,47
476,2021,4,47
477,2021,3,47
478,2021,4,47.4
479,2021,3,48
480,2021,3,48
481,2021,3,48
482,2021,3,48
483,2021,4,48.5
484,2021,3,49
485,2021,3,49
486,2021,3,49
487,2021,4,50
488,2021,3,50
489,2021,4,50
490,2021,4,50.25
491,2021,3,50.5
492,2021,4,50.5
493,2021,3,50.5
494,2021,3,50.5
495,2021,3,50.63
496,2021,3,50.7
497,2021,5,50.9
498,2021,3,51
499,2021,3,51
500,2021,3,51.6
501,2021,5,51.8
502,2021,3,52
503,2021,3,52
504,2021,4,52.48
505,2021,3,52.5
506,2021,4,52.5
507,2021,4,52.7
508,2021,3,52.9
509,2021,4,53
510,2021,3,53
511,2021,4,53
512,2021,3,53
513,2021,3,53
514,2021,4,53
515,2021,4,53.6
516,2021,4,53.8
517,2021,3,54
518,2021,3,54
519,2021,3,54
520,2021,3,54
521,2021,3,54
522,2021,4,54.01
523,2021,4,54.2
524,2021,4,54.5
525,2021,3,55
526,2021,4,55
527,2021,4,55.1
528,2021,3,55.1
529,2021,4,55.5
530,2021,3,55.5
531,2021,3,55.5
532,2021,4,56
533,2021,4,56
534,2021,4,57
535,2021,3,57.1
536,2021,3,57.3
537,2021,4,57.8
538,2021,3,58
539,2021,4,58
540,2021,3,58.6
541,2021,3,58.9
542,2021,3,59
543,2021,3,59
544,2021,3,59
545,2021,3,59.5
546,2021,4,59.5
547,2021,3,59.5
548,2021,3,59.5
549,2021,3,59.7
550,2021,4,60
551,2021,4,60
552,2021,4,60.4
553,2021,3,60.5
554,2021,3,60.5
555,2021,4,61
556,2021,4,61.5
557,2021,3,61.5
558,2021,4,62
559,2021,3,62
560,2021,4,62
561,2021,3,62
562,2021,4,62.2
563,2021,4,62.4
564,2021,2,62.5
565,2021,4,62.5
566,2021,4,62.5
567,2021,4,62.6
568,2021,4,62.8
569,2021,4,62.85
570,2021,3,63
571,2021,3,63
572,2021,4,63
573,2021,3,63.25
574,2021,4,63.5
575,2021,3,63.5
576,2021,3,63.7
577,2021,3,63.9
578,2021,3,64
579,2021,3,64
580,2021,3,64
581,2021,4,64
582,2021,4,64.25
583,2021,3,64.72
584,2021,3,65
585,2021,3,65
586,2021,3,65
587,2021,3,65
588,2021,4,65
589,2021,3,65
590,2021,3,65.5
591,2021,3,65.5
592,2021,3,65.7
593,2021,3,66
594,2021,3,66.1
595,2021,3,66.5
596,2021,4,66.5
597,2021,3,66.5
598,2021,3,66.9
599,2021,4,67
600,2021,3,67.1
601,2021,4,67.2
602,2021,3,67.2
603,2021,3,67.3
604,2021,3,67.5
605,2021,4,67.5
606,2021,3,67.5
607,2021,3,68
608,2021,4,68
609,2021,3,68
610,2021,4,68.1
611,2021,3,68.1
612,2021,3,68.3
613,2021,3,68.5
614,2021,4,68.5
615,2021,3,68.6
616,2021,3,68.8
617,2021,3,68.9
618,2021,4,69
619,2021,1,69
620,2021,3,69
621,2021,4,69
622,2021,4,69.3
623,2021,4,69.5
624,2021,3,69.5
625,2021,3,69.7
626,2021,3,69.7
627,2021,4,69.8
628,2021,3,70
629,2021,3,70
630,2021,3,70
631,2021,4,70.5
632,2021,3,70.5
633,2021,3,70.9
634,2021,3,71
635,2021,4,71
636,2021,1,71
637,2021,3,71.4
638,2021,2,71.5
639,2021,3,71.5
640,2021,4,71.7
641,2021,4,72
642,2021,4,72
643,2021,3,72.25
644,2021,4,72.3
645,2021,4,72.4
646,2021,4,72.5
647,2021,4,73
648,2021,4,73
649,2021,4,73
650,2021,4,73
651,2021,4,73
652,2021,4,73
653,2021,4,73
654,2021,4,73
655,2021,4,73.25
656,2021,4,73.5
657,2021,4,73.5
658,2021,4,73.5
659,2021,3,73.6
660,2021,5,74
661,2021,5,74
662,2021,5,74.1
663,2021,3,74.5
664,2021,4,74.5
665,2021,4,75
666,2021,3,75
667,2021,4,75
668,2021,4,75
669,2021,4,75.4
670,2021,3,75.5
671,2021,3,75.5
672,2021,3,75.5
673,2021,4,75.6
674,2021,4,76
675,2021,3,76
676,2021,3,76
677,2021,4,76.5
678,2021,4,76.5
679,2021,3,76.5
680,2021,4,76.57
681,2021,3,76.75
682,2021,4,76.8
683,2021,3,77
684,2021,4,77
685,2021,3,77
686,2021,3,77
687,2021,4,77
688,2021,3,77.4
689,2021,4,78
690,2021,3,78
691,2021,3,78
692,2021,3,78
693,2021,3,78
694,2021,4,78
695,2021,3,78
696,2021,3,78.5
697,2021,4,78.7
698,2021,3,79
699,2021,3,79
700,2021,4,79.3
701,2021,3,79.5
702,2021,4,79.5
703,2021,4,79.5
704,2021,3,79.6
705,2021,3,80
706,2021,4,80.38
707,2021,4,80.5
708,2021,4,80.5
709,2021,3,80.5
710,2021,4,80.5
711,2021,3,80.7
712,2021,3,80.7
713,2021,4,80.7
714,2021,4,81
715,2021,3,81
716,2021,4,81
717,2021,4,81
718,2021,3,81
719,2021,3,81
720,2021,4,81
721,2021,4,81.25
722,2021,4,81.35
723,2021,4,81.6
724,2021,3,81.6
725,2021,3,82
726,2021,3,82
727,2021,4,82
728,2021,4,82
729,2021,2,82
730,2021,3,82.13
731,2021,3,82.35
732,2021,4,82.5
733,2021,4,82.5
734,2021,3,82.7
735,2021,3,82.8
736,2021,4,82.9
737,2021,3,83
738,2021,4,83
739,2021,3,83
740,2021,3,83
741,2021,3,83
742,2021,3,83.5
743,2021,3,83.5
744,2021,4,83.5
745,2021,3,83.5
746,2021,3,83.9
747,2021,3,84.21
748,2021,2,84.4
749,2021,3,84.4
750,2021,4,84.7
751,2021,4,84.7
752,2021,3,84.7
753,2021,4,85
